artist,0
P!nk,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Pink_2006.jpg/220px-Pink_2006.jpg
The Chainsmokers,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/The_Chainsmokers_-_Logo_2013.jpg/220px-The_Chainsmokers_-_Logo_2013.jpg
Ellie Goulding,//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Ellie_Goulding_%40_Nokia_World_2010_1.jpg/220px-Ellie_Goulding_%40_Nokia_World_2010_1.jpg
Ariana Grande,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg/170px-Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg
Calvin Harris,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Calvin_Harris_001.jpg/200px-Calvin_Harris_001.jpg
Lizzo,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Lizzo%2C_Liverpool_SoundCity_2014.jpg/225px-Lizzo%2C_Liverpool_SoundCity_2014.jpg
Justin Bieber,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Justin_Bieber_2.png/220px-Justin_Bieber_2.png
OneRepublic,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Onerepublic.jpg/220px-Onerepublic.jpg
One Direction,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/One_Direction_X_Factor_Live_Glasgow.jpg/220px-One_Direction_X_Factor_Live_Glasgow.jpg
Calvin Harris,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Calvin_Harris_001.jpg/200px-Calvin_Harris_001.jpg
Snakehips,
Demi Lovato,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/Demi_Lovato_Crop.jpg/170px-Demi_Lovato_Crop.jpg
Jonas Brothers,//upload.wikimedia.org/wikipedia/commons/thumb/2/25/Jonas_Brothers_06-03-2008.jpg/220px-Jonas_Brothers_06-03-2008.jpg
The Wanted,
Coldplay,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/YellowLive.JPG/220px-YellowLive.JPG
Ed Sheeran,//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Franglingham_Castle_01.jpg/220px-Franglingham_Castle_01.jpg
Drake,
Maroon 5,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Maroon5.jpg/220px-Maroon5.jpg
Jason Derulo,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Jason-Derulo_by-Adam-Bielawski_2010-01-12.jpg/170px-Jason-Derulo_by-Adam-Bielawski_2010-01-12.jpg
Kesha,//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Ke%24ha_performing_live_in_Echo.JPG/220px-Ke%24ha_performing_live_in_Echo.JPG
Ed Sheeran,//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Franglingham_Castle_01.jpg/220px-Franglingham_Castle_01.jpg
ZAYN,
LMFAO,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Madonna_Super_Bowl2.jpg/170px-Madonna_Super_Bowl2.jpg
Nicki Minaj,//upload.wikimedia.org/wikipedia/commons/thumb/0/08/MinajHammersteinBallroomNYC.jpg/170px-MinajHammersteinBallroomNYC.jpg
Bruno Mars,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Bruno_Mars_keyboard.jpg/200px-Bruno_Mars_keyboard.jpg
Train,//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Stockton_%26_Darlington_Railway_%28Brown_via_Getty_Images%29.jpg/220px-Stockton_%26_Darlington_Railway_%28Brown_via_Getty_Images%29.jpg
Katy Perry,//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Katy_Perry_performing.jpg/170px-Katy_Perry_performing.jpg
Meghan Trainor,//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Meghan_Trainor_in_2010.jpg/170px-Meghan_Trainor_in_2010.jpg
Selena Gomez & The Scene,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Selena_Gomez_and_The_Scene.png/220px-Selena_Gomez_and_The_Scene.png
David Guetta,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/DavidGuettaLive.jpg/220px-DavidGuettaLive.jpg
Macklemore & Ryan Lewis,
DJ Snake,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/DJ_Snake_Live_EMF_2016_%28Cropped%29.png/222px-DJ_Snake_Live_EMF_2016_%28Cropped%29.png
Demi Lovato,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/Demi_Lovato_Crop.jpg/170px-Demi_Lovato_Crop.jpg
Robin Thicke,//upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Robin_Thicke_2012_cropped.jpg/150px-Robin_Thicke_2012_cropped.jpg
Jonas Blue,
Martin Solveig,
Alessia Cara,//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Alessia_Cara_press_photo_2015.png/220px-Alessia_Cara_press_photo_2015.png
Jessie J,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Jessie_J.jpg/170px-Jessie_J.jpg
P!nk,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Pink_2006.jpg/220px-Pink_2006.jpg
Lady Gaga,//upload.wikimedia.org/wikipedia/commons/thumb/8/82/Lady_Gaga_at_Lollapalooza_2007_-_cropped.jpg/130px-Lady_Gaga_at_Lollapalooza_2007_-_cropped.jpg
Gym Class Heroes,//upload.wikimedia.org/wikipedia/commons/thumb/5/57/Gym_Class_Heroes_Warped.jpg/220px-Gym_Class_Heroes_Warped.jpg
Lady Gaga,//upload.wikimedia.org/wikipedia/commons/thumb/8/82/Lady_Gaga_at_Lollapalooza_2007_-_cropped.jpg/130px-Lady_Gaga_at_Lollapalooza_2007_-_cropped.jpg
Selena Gomez,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Selena_Gomez_2009.jpg/170px-Selena_Gomez_2009.jpg
Rihanna,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/RihannaJingle_Ball_cropped.jpg/170px-RihannaJingle_Ball_cropped.jpg
Lilly Wood and The Prick,//upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Lilly_Wood_%26_The_Prick_at_Rock_en_Seine%2C2011.jpg/245px-Lilly_Wood_%26_The_Prick_at_Rock_en_Seine%2C2011.jpg
Mike Posner,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Mikeposnerr.jpg/170px-Mikeposnerr.jpg
Zedd,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Zedd_Logo.png/220px-Zedd_Logo.png
Taylor Swift,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Grandview_Blvd_76%2C_Wyomissing_PA.JPG/220px-Grandview_Blvd_76%2C_Wyomissing_PA.JPG
Alesso,//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Alesso_playing_live_at_Ushuaia_Ibiza.jpeg/220px-Alesso_playing_live_at_Ushuaia_Ibiza.jpeg
ZAYN,
Ellie Goulding,//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Ellie_Goulding_%40_Nokia_World_2010_1.jpg/220px-Ellie_Goulding_%40_Nokia_World_2010_1.jpg
Liam Payne,//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Liam_Payne_Sydney_Australia.jpg/200px-Liam_Payne_Sydney_Australia.jpg
Alessia Cara,//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Alessia_Cara_press_photo_2015.png/220px-Alessia_Cara_press_photo_2015.png
Shawn Mendes,//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Shawn_Mendes_VOA.png/220px-Shawn_Mendes_VOA.png
Drake,
Christina Aguilera,//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Stripped_Tour_CH_-_cropped.jpg/190px-Stripped_Tour_CH_-_cropped.jpg
David Guetta,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/DavidGuettaLive.jpg/220px-DavidGuettaLive.jpg
Rihanna,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/RihannaJingle_Ball_cropped.jpg/170px-RihannaJingle_Ball_cropped.jpg
Bruno Mars,//upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Bruno_Mars_keyboard.jpg/200px-Bruno_Mars_keyboard.jpg
Eminem,//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Eight_Mile_Road.jpg/220px-Eight_Mile_Road.jpg
The Chainsmokers,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/The_Chainsmokers_-_Logo_2013.jpg/220px-The_Chainsmokers_-_Logo_2013.jpg
David Guetta,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/DavidGuettaLive.jpg/220px-DavidGuettaLive.jpg
Maroon 5,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Maroon5.jpg/220px-Maroon5.jpg
3OH!3,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Nat_3oh3_logo.jpg/220px-Nat_3oh3_logo.jpg
Justin Bieber,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Justin_Bieber_2.png/220px-Justin_Bieber_2.png
Zedd,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Zedd_Logo.png/220px-Zedd_Logo.png
Ariana Grande,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg/170px-Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg
Disclosure,
Usher,
Rita Ora,//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Rita_Ora%2C_9_September_2012_%28cropped%29.jpg/200px-Rita_Ora%2C_9_September_2012_%28cropped%29.jpg
Adele,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Adele.jpg/170px-Adele.jpg
Macklemore & Ryan Lewis,
5 Seconds of Summer,//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Annandale_Hotel_on_the_corner_of_Parramatta_Rd_and_Nelson_St_in_Annandale.jpg/220px-Annandale_Hotel_on_the_corner_of_Parramatta_Rd_and_Nelson_St_in_Annandale.jpg
The Chainsmokers,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/The_Chainsmokers_-_Logo_2013.jpg/220px-The_Chainsmokers_-_Logo_2013.jpg
Taio Cruz,//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Taio_Cruz_at_Tup_Tup_Palace.jpg/220px-Taio_Cruz_at_Tup_Tup_Palace.jpg
Neon Trees,//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Neon_Trees_Midtown.jpg/220px-Neon_Trees_Midtown.jpg
Bebe Rexha,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Black_Cards_2011.jpg/220px-Black_Cards_2011.jpg
P!nk,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Pink_2006.jpg/220px-Pink_2006.jpg
Selena Gomez,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Selena_Gomez_2009.jpg/170px-Selena_Gomez_2009.jpg
Mark Ronson,//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Mark_Ronson_%283596317326%29.jpg/180px-Mark_Ronson_%283596317326%29.jpg
The Chainsmokers,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/The_Chainsmokers_-_Logo_2013.jpg/220px-The_Chainsmokers_-_Logo_2013.jpg
Mr. Probz,
SHAED,//upload.wikimedia.org/wikipedia/commons/thumb/1/14/Shaed_wordmark_black.svg/220px-Shaed_wordmark_black.svg.png
ZAYN,
Taylor Swift,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Grandview_Blvd_76%2C_Wyomissing_PA.JPG/220px-Grandview_Blvd_76%2C_Wyomissing_PA.JPG
DJ Khaled,//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/DJ_Khaled_in_2011.jpg/220px-DJ_Khaled_in_2011.jpg
Owl City,//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Owl_City_930_club.jpg/220px-Owl_City_930_club.jpg
Justin Timberlake,//upload.wikimedia.org/wikipedia/commons/thumb/5/52/Justin_Timberlake_-_Justified_World_Tour_-_Earls_Court_-_6.jpg/170px-Justin_Timberlake_-_Justified_World_Tour_-_Earls_Court_-_6.jpg
Maroon 5,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Maroon5.jpg/220px-Maroon5.jpg
Sigala,
P!nk,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Pink_2006.jpg/220px-Pink_2006.jpg
Swedish House Mafia,//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Shm-logo_1.png/220px-Shm-logo_1.png
Shawn Mendes,//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Shawn_Mendes_VOA.png/220px-Shawn_Mendes_VOA.png
Jennifer Lopez,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/JenniferLopez.jpg/170px-JenniferLopez.jpg
OneRepublic,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Onerepublic.jpg/220px-Onerepublic.jpg
Kelly Clarkson,//upload.wikimedia.org/wikipedia/commons/c/cc/Kelly_Clarkson_in_September_2002.jpg
DNCE,
Katy Perry,//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Katy_Perry_performing.jpg/170px-Katy_Perry_performing.jpg
Zedd,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Zedd_Logo.png/220px-Zedd_Logo.png
Nicki Minaj,//upload.wikimedia.org/wikipedia/commons/thumb/0/08/MinajHammersteinBallroomNYC.jpg/170px-MinajHammersteinBallroomNYC.jpg
Major Lazer,//upload.wikimedia.org/wikipedia/commons/thumb/6/61/MAJOR_LAZER_-_COACHELLA_2010.jpg/220px-MAJOR_LAZER_-_COACHELLA_2010.jpg
Ariana Grande,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg/170px-Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg
Little Mix,//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Little_mixx.jpg/220px-Little_mixx.jpg
The Chainsmokers,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/The_Chainsmokers_-_Logo_2013.jpg/220px-The_Chainsmokers_-_Logo_2013.jpg
Maroon 5,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Maroon5.jpg/220px-Maroon5.jpg
Selena Gomez,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Selena_Gomez_2009.jpg/170px-Selena_Gomez_2009.jpg
Camila Cabello,//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Camila_Cabello_at_the_93.3_FLZ_Jingle_Ball_Tampa_Florida_2013_%283%29.jpg/170px-Camila_Cabello_at_the_93.3_FLZ_Jingle_Ball_Tampa_Florida_2013_%283%29.jpg
Ed Sheeran,//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Franglingham_Castle_01.jpg/220px-Franglingham_Castle_01.jpg
Ariana Grande,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg/170px-Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg
David Guetta,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/DavidGuettaLive.jpg/220px-DavidGuettaLive.jpg
Rihanna,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/RihannaJingle_Ball_cropped.jpg/170px-RihannaJingle_Ball_cropped.jpg
Miley Cyrus,//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Miley_Cyrus_Concert.jpg/170px-Miley_Cyrus_Concert.jpg
Demi Lovato,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/Demi_Lovato_Crop.jpg/170px-Demi_Lovato_Crop.jpg
Sam Smith,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Sam_Smith_2_%2815425586230%29.jpg/170px-Sam_Smith_2_%2815425586230%29.jpg
Calvin Harris,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Calvin_Harris_001.jpg/200px-Calvin_Harris_001.jpg
Justin Timberlake,//upload.wikimedia.org/wikipedia/commons/thumb/5/52/Justin_Timberlake_-_Justified_World_Tour_-_Earls_Court_-_6.jpg/170px-Justin_Timberlake_-_Justified_World_Tour_-_Earls_Court_-_6.jpg
Dua Lipa,//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Dua_Lipa-0761.jpg/175px-Dua_Lipa-0761.jpg
Selena Gomez & The Scene,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Selena_Gomez_and_The_Scene.png/220px-Selena_Gomez_and_The_Scene.png
Rihanna,//upload.wikimedia.org/wikipedia/commons/thumb/6/66/RihannaJingle_Ball_cropped.jpg/170px-RihannaJingle_Ball_cropped.jpg
Carly Rae Jepsen,//upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Carly_Rae_Jepsen_2010_1.jpg/160px-Carly_Rae_Jepsen_2010_1.jpg
Calvin Harris,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Calvin_Harris_001.jpg/200px-Calvin_Harris_001.jpg
Jonas Brothers,//upload.wikimedia.org/wikipedia/commons/thumb/2/25/Jonas_Brothers_06-03-2008.jpg/220px-Jonas_Brothers_06-03-2008.jpg
Katy Perry,//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Katy_Perry_performing.jpg/170px-Katy_Perry_performing.jpg
Martin Garrix,//upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Martin_Garrix_Logo_2012.png/220px-Martin_Garrix_Logo_2012.png
Calvin Harris,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Calvin_Harris_001.jpg/200px-Calvin_Harris_001.jpg
Mark Ronson,//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Mark_Ronson_%283596317326%29.jpg/180px-Mark_Ronson_%283596317326%29.jpg
Sia,//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Sia_Furler_in_concert.jpg/170px-Sia_Furler_in_concert.jpg
Niall Horan,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/One_Direction_X_Factor_Live_Glasgow_2.jpg/220px-One_Direction_X_Factor_Live_Glasgow_2.jpg
David Guetta,//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/DavidGuettaLive.jpg/220px-DavidGuettaLive.jpg
Avicii,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Avicii.jpg/170px-Avicii.jpg
DNCE,
Maroon 5,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Maroon5.jpg/220px-Maroon5.jpg
Pitbull,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Benjamin_Marshall_-_Dustman_-_Bulldog_and_Terrier_Mix.jpg/200px-Benjamin_Marshall_-_Dustman_-_Bulldog_and_Terrier_Mix.jpg
Hailee Steinfeld,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/HaileeSteinfeldSept10_%28cropped%29.jpg/170px-HaileeSteinfeldSept10_%28cropped%29.jpg
Ellie Goulding,//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Ellie_Goulding_%40_Nokia_World_2010_1.jpg/220px-Ellie_Goulding_%40_Nokia_World_2010_1.jpg
One Direction,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/One_Direction_X_Factor_Live_Glasgow.jpg/220px-One_Direction_X_Factor_Live_Glasgow.jpg
Avicii,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Avicii.jpg/170px-Avicii.jpg
Marshmello,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Marshmello_%40_VELD_2016.jpg/275px-Marshmello_%40_VELD_2016.jpg
Selena Gomez,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Selena_Gomez_2009.jpg/170px-Selena_Gomez_2009.jpg
Labrinth,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Labrinth_at_the_MEN_Arena%2C_2013.jpg/220px-Labrinth_at_the_MEN_Arena%2C_2013.jpg
Dua Lipa,//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Dua_Lipa-0761.jpg/175px-Dua_Lipa-0761.jpg
Daft Punk,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Daft_Punk_logo.svg/220px-Daft_Punk_logo.svg.png
Jessie J,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Jessie_J.jpg/170px-Jessie_J.jpg
Jessie J,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Jessie_J.jpg/170px-Jessie_J.jpg
Selena Gomez,//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Selena_Gomez_2009.jpg/170px-Selena_Gomez_2009.jpg
Kygo,//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Kygo_Life_AS_Logo.jpg/220px-Kygo_Life_AS_Logo.jpg
Shawn Mendes,//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Shawn_Mendes_VOA.png/220px-Shawn_Mendes_VOA.png
Jennifer Lopez,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/JenniferLopez.jpg/170px-JenniferLopez.jpg
The Weeknd,//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/The_Weeknd_by_David_Hwang.jpg/220px-The_Weeknd_by_David_Hwang.jpg
Clean Bandit,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Clean_Bandit_logo.svg/120px-Clean_Bandit_logo.svg.png
Hot Chelle Rae,
Maroon 5,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Maroon5.jpg/220px-Maroon5.jpg
The Weeknd,//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/The_Weeknd_by_David_Hwang.jpg/220px-The_Weeknd_by_David_Hwang.jpg
Wiz Khalifa,//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Wiz_Khalifa_Columbia_University_Bacchanal_2010.jpg/250px-Wiz_Khalifa_Columbia_University_Bacchanal_2010.jpg
Demi Lovato,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/Demi_Lovato_Crop.jpg/170px-Demi_Lovato_Crop.jpg
Ariana Grande,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg/170px-Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg
Austin Mahone,
Ariana Grande,//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg/170px-Ariana_Grande_by_David_Shankbone_%28cropped%29.jpg
The Chainsmokers,//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/The_Chainsmokers_-_Logo_2013.jpg/220px-The_Chainsmokers_-_Logo_2013.jpg
Sia,//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Sia_Furler_in_concert.jpg/170px-Sia_Furler_in_concert.jpg
